                8535                 1429                   36                    0                    0                    0                    0                    0                    0 
                7295                 2545                  159                    1                    0                    0                    0                    0                    0 
                6133                 3532                  334                    1                    0                    0                    0                    0                    0 
                5223                 4214                  557                    6                    0                    0                    0                    0                    0 
                4489                 4681                  821                    9                    0                    0                    0                    0                    0 
                3883                 5001                 1104                   12                    0                    0                    0                    0                    0 
                3369                 5234                 1370                   27                    0                    0                    0                    0                    0 
                2896                 5369                 1696                   39                    0                    0                    0                    0                    0 
                2521                 5476                 1955                   48                    0                    0                    0                    0                    0 
                2177                 5542                 2221                   60                    0                    0                    0                    0                    0 
                1918                 5506                 2498                   78                    0                    0                    0                    0                    0 
                1670                 5476                 2770                   84                    0                    0                    0                    0                    0 
                1437                 5416                 3043                  104                    0                    0                    0                    0                    0 
                1278                 5292                 3310                  120                    0                    0                    0                    0                    0 
                1131                 5197                 3538                  134                    0                    0                    0                    0                    0 
                1014                 5066                 3770                  150                    0                    0                    0                    0                    0 
                 935                 4900                 3993                  172                    0                    0                    0                    0                    0 
                 863                 4800                 4143                  194                    0                    0                    0                    0                    0 
                 796                 4654                 4332                  218                    0                    0                    0                    0                    0 
                 735                 4586                 4438                  241                    0                    0                    0                    0                    0 
                 658                 4506                 4575                  261                    0                    0                    0                    0                    0 
                 605                 4421                 4686                  288                    0                    0                    0                    0                    0 
                 555                 4346                 4799                  300                    0                    0                    0                    0                    0 
                 526                 4200                 4948                  326                    0                    0                    0                    0                    0 
                 504                 4055                 5092                  349                    0                    0                    0                    0                    0 
                 489                 3934                 5213                  364                    0                    0                    0                    0                    0 
                 448                 3874                 5298                  380                    0                    0                    0                    0                    0 
                 429                 3799                 5364                  408                    0                    0                    0                    0                    0 
                 407                 3727                 5443                  423                    0                    0                    0                    0                    0 
                 389                 3650                 5523                  438                    0                    0                    0                    0                    0 
                 356                 3590                 5607                  447                    0                    0                    0                    0                    0 
                 348                 3527                 5672                  453                    0                    0                    0                    0                    0 
                 351                 3493                 5696                  460                    0                    0                    0                    0                    0 
                 324                 3444                 5769                  463                    0                    0                    0                    0                    0 
                 321                 3380                 5825                  474                    0                    0                    0                    0                    0 
                 296                 3344                 5873                  487                    0                    0                    0                    0                    0 
                 301                 3300                 5890                  509                    0                    0                    0                    0                    0 
                 296                 3259                 5923                  522                    0                    0                    0                    0                    0 
                 298                 3199                 5967                  536                    0                    0                    0                    0                    0 
                 297                 3173                 5986                  544                    0                    0                    0                    0                    0 
                 284                 3145                 6001                  570                    0                    0                    0                    0                    0 
                 273                 3096                 6052                  579                    0                    0                    0                    0                    0 
                 258                 3063                 6098                  581                    0                    0                    0                    0                    0 
                 244                 3048                 6129                  579                    0                    0                    0                    0                    0 
                 249                 3037                 6121                  593                    0                    0                    0                    0                    0 
                 254                 2994                 6153                  599                    0                    0                    0                    0                    0 
                 264                 2919                 6202                  615                    0                    0                    0                    0                    0 
                 246                 2918                 6197                  639                    0                    0                    0                    0                    0 
                 242                 2886                 6214                  658                    0                    0                    0                    0                    0 
                 250                 2871                 6220                  659                    0                    0                    0                    0                    0 
                 263                 2805                 6256                  676                    0                    0                    0                    0                    0 
                 268                 2794                 6254                  684                    0                    0                    0                    0                    0 
                 261                 2787                 6254                  698                    0                    0                    0                    0                    0 
                 260                 2791                 6254                  695                    0                    0                    0                    0                    0 
                 259                 2793                 6252                  696                    0                    0                    0                    0                    0 
                 256                 2789                 6252                  703                    0                    0                    0                    0                    0 
                 254                 2763                 6277                  706                    0                    0                    0                    0                    0 
