Genesymbol,EnsembleID
Ncoa4,ENSMUSG00000056234
Slco2a1,ENSMUSG00000032548
Fam83c,ENSMUSG00000074647
Slc35d1,ENSMUSG00000028521
Tpd52l1,ENSMUSG00000000296
Serpinb5,ENSMUSG00000067006
Arhgap32,ENSMUSG00000041444
Tnfaip3,ENSMUSG00000019850
Fgfr4,ENSMUSG00000005320
Wwp1,ENSMUSG00000041058
Pnliprp2,ENSMUSG00000025091
Atpif1,ENSMUSG00000054428
Psmb3,ENSMUSG00000069744
Cycs,ENSMUSG00000063694
Atl2,ENSMUSG00000059811
Itga3,ENSMUSG00000001507
Thbs1,ENSMUSG00000040152
F5,ENSMUSG00000026579
Net1,ENSMUSG00000021215
Igsf5,ENSMUSG00000000159
Pir,ENSMUSG00000031379
Bmp2,ENSMUSG00000027358
Sptssa,ENSMUSG00000044408
Rcc1,ENSMUSG00000028896
Fgfr3,ENSMUSG00000054252
Gk5,ENSMUSG00000041440
Pmaip1,ENSMUSG00000024521
Acsl3,ENSMUSG00000032883
Epb41l2,ENSMUSG00000019978
Mal2,ENSMUSG00000024479
Ppt1,ENSMUSG00000028657
Gm32742,ENSMUSG00000110266
Chrm3,ENSMUSG00000046159
Col27a1,ENSMUSG00000045672
Ttyh2,ENSMUSG00000034714
Acnat1,ENSMUSG00000070985
Wfdc2,ENSMUSG00000017723
Fam43a,ENSMUSG00000046546
Esrrg,ENSMUSG00000026610
Fkbp11,ENSMUSG00000003355
Aqp5,ENSMUSG00000044217
Fut4,ENSMUSG00000049307
Tcaf1,ENSMUSG00000036667
Gcc2,ENSMUSG00000038039
Alcam,ENSMUSG00000022636
Arhgap29,ENSMUSG00000039831
Iqgap2,ENSMUSG00000021676
Ffar2,ENSMUSG00000051314
Ncoa7,ENSMUSG00000039697
Paqr7,ENSMUSG00000037348
Pik3r2,ENSMUSG00000031834
Col4a2,ENSMUSG00000031503
Gpx8,ENSMUSG00000021760
Pigr,ENSMUSG00000026417
Slamf9,ENSMUSG00000026548
Wls,ENSMUSG00000028173
Tmem139,ENSMUSG00000071506
