Genesymbol,EnsembleID
Smarcc1,ENSMUSG00000032481
Gm44519,ENSMUSG00000108562
Gm2926,ENSMUSG00000108764
Gtse1,ENSMUSG00000022385
Nebl,ENSMUSG00000053702
Ctxn1,ENSMUSG00000048644
Ccdc88a,ENSMUSG00000032740
Pnpla3,ENSMUSG00000041653
Ccsap,ENSMUSG00000031971
9630010A21Rik,ENSMUSG00000103867
Fbln5,ENSMUSG00000021186
Cpsf6,ENSMUSG00000055531
Snrpd1,ENSMUSG00000002477
Tmem55a,ENSMUSG00000028221
Tmem136,ENSMUSG00000048503
Bub3,ENSMUSG00000066979
Nutf2-ps1,ENSMUSG00000071497
CU074400.1,ENSMUSG00000114254
Gm28437,ENSMUSG00000101111
mt-Co3,ENSMUSG00000064358
Rpp21,ENSMUSG00000024446
Psma6,ENSMUSG00000021024
Gm12337,ENSMUSG00000084224
Gm21596,ENSMUSG00000096006
Pomp,ENSMUSG00000029649
Ankmy2,ENSMUSG00000036188
Slc4a2,ENSMUSG00000028962
H3f3b,ENSMUSG00000016559
Gm13611,ENSMUSG00000066068
Gnai2,ENSMUSG00000032562
Ndufv2,ENSMUSG00000024099
Rpl38,ENSMUSG00000057322
Syap1,ENSMUSG00000031357
Mst1r,ENSMUSG00000032584
Wdr76,ENSMUSG00000027242
Pcna-ps2,ENSMUSG00000067608
Mrpl42,ENSMUSG00000062981
Rap2c,ENSMUSG00000050029
Znrd1,ENSMUSG00000036315
Lrrc75a,ENSMUSG00000046417
Minos1,ENSMUSG00000050608
Ndufb4,ENSMUSG00000022820
Gm6563,ENSMUSG00000051255
Romo1,ENSMUSG00000067847
Ppp1cb,ENSMUSG00000014956
Tmem11,ENSMUSG00000043284
Gm6794,ENSMUSG00000107591
Atad3a,ENSMUSG00000029036
Gm5121,ENSMUSG00000066626
Aurkb,ENSMUSG00000020897
Fxyd6,ENSMUSG00000066705
Alox5,ENSMUSG00000025701
Midn,ENSMUSG00000035621
Ndufc2,ENSMUSG00000030647
Rad51b,ENSMUSG00000059060
Fam13b,ENSMUSG00000036501
Gm16580,ENSMUSG00000089764
Clspn,ENSMUSG00000042489
Stmn1,ENSMUSG00000028832
Elof1,ENSMUSG00000013822
Lsm2,ENSMUSG00000007050
Dbn1,ENSMUSG00000034675
Mrpl54,ENSMUSG00000034932
Tubg1,ENSMUSG00000035198
Mfng,ENSMUSG00000018169
Sema6c,ENSMUSG00000038777
Fam19a1,ENSMUSG00000059187
Tubb2b,ENSMUSG00000045136
Aldh1b1,ENSMUSG00000035561
Cdc25c,ENSMUSG00000044201
Fes,ENSMUSG00000053158
Mrpl16,ENSMUSG00000024683
Smco4,ENSMUSG00000058173
Map1a,ENSMUSG00000027254
Polq,ENSMUSG00000034206
Eif5,ENSMUSG00000021282
Prps1,ENSMUSG00000031432
Apitd1,ENSMUSG00000073705
D8Ertd738e,ENSMUSG00000019362
Hist1h2ap,ENSMUSG00000094777
Matk,ENSMUSG00000004933
Mettl16,ENSMUSG00000010554
Dennd2d,ENSMUSG00000027901
B930036N10Rik,ENSMUSG00000091993
Kif15,ENSMUSG00000036768
Pigs,ENSMUSG00000041958
Ogfod1,ENSMUSG00000033009
Taf11,ENSMUSG00000024218
Usp12,ENSMUSG00000029640
Myb,ENSMUSG00000019982
Ascl2,ENSMUSG00000009248
Pigk,ENSMUSG00000039047
Cbx3,ENSMUSG00000029836
Rnf4,ENSMUSG00000029110
Timm13,ENSMUSG00000020219
Specc1l,ENSMUSG00000033444
Vps52,ENSMUSG00000024319
Cenph,ENSMUSG00000045273
Itgav,ENSMUSG00000027087
Ndufa3,ENSMUSG00000035674
Rpl34,ENSMUSG00000062006
Glrx5,ENSMUSG00000021102
Strip2,ENSMUSG00000039629
Kif22,ENSMUSG00000030677
Gm16418,ENSMUSG00000084093
Eml3,ENSMUSG00000071647
Vti1b,ENSMUSG00000021124
Rala,ENSMUSG00000008859
Nutf2,ENSMUSG00000008450
Gm4799,ENSMUSG00000071151
Spata6,ENSMUSG00000034401
Sirt6,ENSMUSG00000034748
Mfsd4b3,ENSMUSG00000071335
Smchd1,ENSMUSG00000024054
Epha4,ENSMUSG00000026235
Ccar1,ENSMUSG00000020074
Gtf2a2,ENSMUSG00000033543
Mtpap,ENSMUSG00000024234
Calm2,ENSMUSG00000036438
Nagpa,ENSMUSG00000023143
Dpf2,ENSMUSG00000024826
Rnasel,ENSMUSG00000066800
Hmmr,ENSMUSG00000020330
Il17rb,ENSMUSG00000015966
Cdc45,ENSMUSG00000000028
Rap1gapos,ENSMUSG00000087476
Tmem161a,ENSMUSG00000002342
Knl1,ENSMUSG00000027326
Ckap2l,ENSMUSG00000048327
Amigo1,ENSMUSG00000050947
Vcp-rs,ENSMUSG00000083327
Pigp,ENSMUSG00000022940
Hnrnpl,ENSMUSG00000015165
Homer3,ENSMUSG00000003573
Anxa11,ENSMUSG00000021866
Casp8ap2,ENSMUSG00000028282
Gm11223,ENSMUSG00000046341
Chd8,ENSMUSG00000053754
Ctps,ENSMUSG00000028633
Rock1,ENSMUSG00000024290
Prkaca,ENSMUSG00000005469
Zw10,ENSMUSG00000032264
Usp9x,ENSMUSG00000031010
Ndufb8,ENSMUSG00000025204
Gm9009,ENSMUSG00000080974
Irak2,ENSMUSG00000060477
Dusp23,ENSMUSG00000026544
Dagla,ENSMUSG00000035735
4930413G21Rik,ENSMUSG00000108452
Ilvbl,ENSMUSG00000032763
Tmem250-ps,ENSMUSG00000087679
AC124744.2,ENSMUSG00000114003
Gm15266,ENSMUSG00000081306
Ndufb2,ENSMUSG00000002416
Chchd1,ENSMUSG00000063787
Gm36975,ENSMUSG00000104302
Plcb2,ENSMUSG00000040061
Lipc,ENSMUSG00000032207
Gpatch1,ENSMUSG00000063808
